step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.344101263065822,29.362453799691313,1.9574969199794208,18.0,1.2,0,0.0,0.4458602339490678,0,0.0
10.0,2,0.0,0.0,9.880392985721501,58.52468006574312,2.7868895269401484,54.577,2.5989047619047616,1,0.0,0.7806638262551882,1,0.0
15.0,3,4.0,0.18181818181818182,6.366219284071722,99.94764594677038,4.5430748157622896,54.714,2.487,3,4.0,0.3444139961487116,3,4.0
20.0,11,44.0,1.6923076923076923,4.58456077218214,177.52652377194963,6.827943221998063,55.482000000000006,2.133923076923077,11,44.0,0.16511097177656772,11,44.0
25.0,16,114.0,4.222222222222222,4.572154912764704,261.926553054893,9.700983446477517,56.487,2.092111111111111,16,114.0,0.09822868990542136,16,114.0
30.0,17,195.0,8.125,1.6936218632639486,336.89362279724423,14.037234283218504,47.829,1.992875,17,195.0,0.04216355469040749,17,195.0
35.0,13,197.0,7.035714285714286,3.5206387025177386,436.95841961089616,15.60565784324629,50.199,1.7928214285714288,13,211.0,0.10472892161212405,13,211.0
40.0,13,262.0,8.733333333333333,5.139604267545953,528.9693770952153,17.63231256984051,51.971000000000004,1.7323666666666668,13,265.0,0.17085223131623853,13,265.0
45.0,16,336.0,10.838709677419354,4.24372857523313,605.7715856393659,19.541018891592447,52.959,1.7083548387096774,16,339.0,0.027847638456179526,16,339.0
50.0,20,430.0,14.333333333333334,2.443259395757974,620.261120527036,20.675370684234533,48.86,1.6286666666666667,20,433.0,0.09892368046679238,20,433.0
55.0,20,393.0,12.28125,3.260474907700082,721.4552310095987,22.54547596904996,51.08500000000001,1.59640625,20,396.0,0.042706795429540576,20,396.0
60.0,22,496.0,15.030303030303031,3.299516918615825,843.2327041511187,25.552506186397537,51.83500000000001,1.5707575757575758,22,499.0,0.06921128769133635,22,499.0
