step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.660085054911074,0,0.0,0.4750019307508116,0,0.0
10.0,4,0.0,0.0,8.572803194561976,2,0.0,0.68781091761496,2,0.0
15.0,4,4.0,0.13793103448275862,7.791895489411695,4,4.0,0.449212536001298,4,4.0
20.0,8,38.0,1.0,7.230336236097486,8,38.0,0.34953469872558957,8,38.0
25.0,14,90.0,2.0454545454545454,6.747429833879274,12,90.0,0.32279624279408703,12,90.0
30.0,21,166.0,3.32,5.852610028001449,20,166.0,0.24840131553177897,20,166.0
35.0,22,260.0,4.90566037735849,5.886367890829392,21,260.0,0.20552035828917842,21,260.0
40.0,29,376.0,6.266666666666667,4.9776329906101475,25,376.0,0.17043074181980247,25,376.0
45.0,34,509.0,8.079365079365079,4.8191129353008115,32,509.0,0.1775819421384495,32,509.0
50.0,32,659.0,9.835820895522389,4.7106388852490095,32,659.0,0.14686783602867726,32,659.0
55.0,39,839.0,12.159420289855072,4.021417141462561,38,839.0,0.13030828530150798,38,839.0
60.0,44,1042.0,14.885714285714286,3.3262227589773476,44,1042.0,0.0785788012317669,44,1042.0
65.0,47,1274.0,16.763157894736842,3.875641963333262,47,1274.0,0.079019552463174,47,1274.0
70.0,51,1517.0,19.20253164556962,3.5450875359712954,50,1517.0,0.09623389689950688,50,1517.0
75.0,58,1787.0,21.023529411764706,2.8888909677503616,57,1787.0,0.053245375389442774,57,1787.0
80.0,61,2078.0,22.835164835164836,3.0108314341214557,60,2078.0,0.07829046976691706,60,2078.0
85.0,60,1791.0,19.467391304347824,2.2966390184679635,57,2044.0,0.07225200659051335,57,2044.0
90.0,43,1226.0,12.510204081632653,3.734597910002148,41,1798.0,0.12203252961320994,41,1798.0
95.0,45,1240.0,12.4,4.455359363935195,38,1631.0,0.1901102610575461,38,1631.0
100.0,41,1373.0,13.46078431372549,3.8631969881258934,41,1802.0,0.11310220685216665,41,1802.0
105.0,51,1498.0,14.831683168316832,3.6931244990603376,49,1997.0,0.08496372608579086,49,1997.0
110.0,49,1686.0,17.5625,3.8175202633039613,49,2149.0,0.09016576242014247,49,2149.0
115.0,56,1945.0,20.473684210526315,4.259578626388961,55,2386.0,0.06991872899757304,55,2386.0
120.0,59,2230.0,22.989690721649485,3.944313061155266,59,2671.0,0.07432699700548943,59,2671.0
125.0,56,2324.0,23.95876288659794,3.401358289495359,54,2745.0,0.09457899870775371,54,2745.0
130.0,46,2263.0,25.426966292134832,3.9077603737617777,43,2640.0,0.10735127622620197,43,2640.0
135.0,42,2336.0,24.082474226804123,4.382901765582827,36,2614.0,0.1301597871129219,36,2614.0
140.0,42,2463.0,26.20212765957447,4.619268336324504,40,2777.0,0.15261116514707374,40,2777.0
145.0,43,2519.0,27.988888888888887,3.6978036200406734,41,2922.0,0.09346597420558984,41,2922.0
150.0,43,2699.0,29.988888888888887,4.646704899473597,43,3043.0,0.10048764943893751,43,3043.0
155.0,47,2922.0,32.831460674157306,5.007591904191812,46,3263.0,0.10182742720910086,46,3263.0
160.0,54,3175.0,34.89010989010989,3.759675739508656,53,3512.0,0.04049206975450865,53,3512.0
165.0,57,2879.0,33.47674418604651,2.9117699753945767,53,3489.0,0.09415852215260127,53,3489.0
170.0,51,1847.0,20.988636363636363,3.289207350225199,46,3172.0,0.10195424338665045,46,3172.0
175.0,47,1244.0,13.521739130434783,3.9076321394041003,43,2872.0,0.1255300846127943,43,2872.0
180.0,49,1024.0,10.893617021276595,4.339997303905667,42,2373.0,0.15062459908188164,42,2373.0
185.0,55,1288.0,12.88,4.067206749446691,44,2070.0,0.14568500217928584,44,2070.0
190.0,57,1559.0,15.435643564356436,3.9266761287276806,48,1851.0,0.1509289730297344,48,1851.0
195.0,65,1861.0,18.245098039215687,3.66575257423016,51,2008.0,0.1297421085753363,51,2008.0
200.0,72,2195.0,20.70754716981132,3.1460741270715786,56,2271.0,0.11768823285884424,56,2271.0
205.0,79,2554.0,23.431192660550458,2.6117773074219652,62,2558.0,0.10933155247920177,62,2558.0
210.0,72,2338.0,21.254545454545454,2.0789003970372963,56,2442.0,0.10619777125234862,56,2442.0
215.0,52,1621.0,14.736363636363636,3.274847590579624,45,2103.0,0.11744305129843784,45,2103.0
220.0,50,1277.0,11.104347826086956,3.7696463009962975,43,1894.0,0.14593808959139273,43,1894.0
225.0,54,1167.0,10.236842105263158,4.086288937968934,52,2155.0,0.1361882379797261,52,2155.0
230.0,52,686.0,6.070796460176991,2.957157164387123,50,2326.0,0.06924116034121844,50,2326.0
235.0,52,564.0,5.035714285714286,3.410607667908123,50,2180.0,0.09024033016509068,50,2180.0
240.0,51,775.0,6.8584070796460175,5.079915022855098,50,2065.0,0.12167848545658304,50,2065.0
245.0,58,1046.0,9.175438596491228,4.689052213624498,56,2269.0,0.07249046637917188,56,2269.0
250.0,67,1200.0,11.11111111111111,3.2894804335429835,62,2489.0,0.060977755547318074,62,2489.0
