step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.072139596515002,0,0.0,0.4932772038949231,0,0.0
10.0,4,0.0,0.0,8.236375457896843,2,0.0,0.6778156168406764,2,0.0
15.0,3,3.0,0.10344827586206896,7.740774600154204,3,3.0,0.414718868995684,3,3.0
20.0,8,37.0,0.9736842105263158,7.8704224805561775,8,37.0,0.3558703994728835,8,37.0
25.0,14,88.0,2.0,6.791540090728683,12,88.0,0.31232663746775446,12,88.0
30.0,15,63.0,1.3125,5.507760888498666,14,99.0,0.2840093504319569,14,99.0
35.0,12,98.0,1.96,7.208075531082503,11,98.0,0.33178043737717755,11,98.0
40.0,19,164.0,2.6885245901639343,6.6334940115443795,15,164.0,0.22035154137937005,15,164.0
45.0,27,252.0,3.876923076923077,6.204094619983539,25,252.0,0.22425797628042132,25,252.0
50.0,23,241.0,3.8870967741935485,5.3409036136468915,23,295.0,0.21556240663799167,23,295.0
55.0,19,223.0,3.596774193548387,4.773532449462721,18,297.0,0.19120571231383943,18,297.0
60.0,26,338.0,5.044776119402985,5.656217071787246,26,355.0,0.2186823571594614,26,355.0
65.0,31,480.0,6.666666666666667,5.358595946029561,30,479.0,0.15038057327484844,30,479.0
70.0,38,660.0,8.8,4.597628227252001,34,645.0,0.15042723196514898,34,645.0
75.0,35,453.0,5.457831325301205,3.7759169737851077,28,545.0,0.12955315990094668,28,545.0
80.0,28,429.0,4.931034482758621,5.893282756890917,25,483.0,0.21294795546037656,25,483.0
85.0,31,554.0,6.517647058823529,6.904268730740364,28,558.0,0.20946920345310344,28,558.0
90.0,36,721.0,8.792682926829269,5.345965755958387,34,713.0,0.12393366742862486,34,713.0
95.0,45,922.0,11.382716049382717,4.502742472849362,40,893.0,0.12085318641314922,40,893.0
100.0,48,1136.0,14.2,3.497614710791048,43,1098.0,0.08810886655995517,43,1098.0
105.0,52,1322.0,15.738095238095237,3.6128284842232468,50,1322.0,0.10361113386896684,50,1322.0
110.0,51,1565.0,18.85542168674699,3.349920750535647,51,1565.0,0.09467041795323607,51,1565.0
115.0,57,1830.0,21.27906976744186,3.2971317152285238,55,1829.0,0.07629149430124826,55,1829.0
120.0,62,2125.0,24.147727272727273,2.7067979713394523,58,2109.0,0.05500164554852424,58,2109.0
125.0,67,2441.0,26.824175824175825,2.572618866004404,61,2404.0,0.06537599624341993,61,2404.0
130.0,68,2776.0,31.191011235955056,2.117966225394458,63,2714.0,0.06093471699038599,63,2714.0
135.0,75,3136.0,32.666666666666664,2.136519424994723,67,3042.0,0.04185540684962059,67,3042.0
140.0,80,3513.0,35.13,1.7339972122045793,71,3383.0,0.056213537520858316,71,3383.0
145.0,84,3908.0,38.31372549019608,1.9352734907904108,75,3744.0,0.030649602180904435,75,3744.0
150.0,81,4310.0,42.254901960784316,2.1260177518429946,74,4111.0,0.060628320951421844,74,4111.0
155.0,81,4715.0,46.68316831683168,1.8015044371998488,74,4481.0,0.05139732124108844,74,4481.0
160.0,76,3985.0,38.31730769230769,1.5749659156648907,69,4234.0,0.039823834618762134,69,4234.0
165.0,56,2658.0,25.805825242718445,3.3809815763943343,48,3570.0,0.10303612897769258,48,3570.0
170.0,47,2140.0,19.63302752293578,4.124699827851253,36,3099.0,0.1735720019736875,36,3099.0
175.0,43,1979.0,18.324074074074073,4.404187639395492,37,2914.0,0.18188324696670893,37,2914.0
180.0,43,2109.0,20.475728155339805,4.5959334953601125,41,3072.0,0.14186568658145518,41,3072.0
185.0,44,2308.0,22.627450980392158,3.86363644214656,43,3310.0,0.06556347844034184,43,3310.0
