step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.73559842409034,0,0.0,0.4205657819173126,0,0.0
10.0,4,0.0,0.0,8.575545648435916,2,0.0,0.6857792431479837,2,0.0
15.0,1,1.0,0.034482758620689655,7.41488676004978,1,1.0,0.4158105212673044,1,1.0
20.0,8,33.0,0.868421052631579,7.718336232919162,8,33.0,0.3925424935435252,8,33.0
25.0,15,85.0,1.9318181818181819,6.442707897321362,13,85.0,0.2995503194964037,13,85.0
30.0,20,124.0,2.3846153846153846,5.515770800244669,19,135.0,0.24724445468983292,19,135.0
35.0,20,201.0,3.8653846153846154,5.892250598058562,19,201.0,0.24561672632761253,19,201.0
40.0,28,307.0,4.951612903225806,5.732441391640035,24,307.0,0.19261547080110622,24,307.0
45.0,35,435.0,6.492537313432836,4.977889381498368,33,435.0,0.16887154422915496,33,435.0
50.0,28,452.0,6.848484848484849,4.401611627995317,28,514.0,0.18070238362854948,28,514.0
55.0,27,515.0,7.463768115942029,4.913347152098367,26,536.0,0.16729849737766292,26,536.0
60.0,33,667.0,8.776315789473685,5.27009110991249,33,667.0,0.13958549122057384,33,667.0
65.0,37,836.0,10.717948717948717,5.265887602214448,37,836.0,0.13153939467994413,37,836.0
70.0,29,672.0,9.08108108108108,4.763386510444806,28,775.0,0.1791611670187063,28,775.0
75.0,27,676.0,8.556962025316455,5.405641554324819,26,743.0,0.15597004012806656,26,743.0
80.0,31,819.0,9.75,6.270222565978706,30,829.0,0.18243377623536186,30,829.0
85.0,38,987.0,11.75,5.155659454768592,35,985.0,0.14992255521111897,35,985.0
90.0,44,1129.0,14.1125,3.3099552753448664,40,1140.0,0.09000581060457677,40,1140.0
95.0,42,1269.0,16.063291139240505,4.235583687570615,42,1286.0,0.1366272377912047,42,1286.0
100.0,45,1483.0,18.5375,4.192359086446354,44,1484.0,0.10588891591445025,44,1484.0
105.0,52,1717.0,20.44047619047619,3.8711673354069647,50,1718.0,0.09519571902824243,50,1718.0
110.0,41,1784.0,20.988235294117647,4.046712229116879,41,1818.0,0.12192197227678074,41,1818.0
115.0,43,1954.0,23.542168674698797,4.7252031046706655,42,1969.0,0.11088269918846416,42,1969.0
120.0,45,2168.0,24.919540229885058,5.108527804521566,45,2168.0,0.11462958733695229,45,2168.0
125.0,49,2397.0,27.872093023255815,4.243665248360156,46,2392.0,0.14050149929833705,46,2392.0
130.0,53,2646.0,33.075,3.3214721739607342,51,2637.0,0.09197553032122072,51,2637.0
135.0,48,2484.0,29.571428571428573,2.762595294453053,44,2625.0,0.08043738178012484,44,2625.0
140.0,36,2378.0,26.719101123595507,4.8397713309980155,35,2536.0,0.161253151266463,35,2536.0
145.0,43,2550.0,27.419354838709676,4.923442761151126,39,2573.0,0.16684758668639213,39,2573.0
150.0,43,2745.0,30.84269662921348,4.626759796366647,43,2769.0,0.10476747689671485,43,2769.0
155.0,46,2436.0,29.0,4.203863887351694,46,2725.0,0.12038168393236222,46,2725.0
160.0,45,1579.0,18.36046511627907,3.700963495014466,44,2417.0,0.07327999726746262,44,2417.0
165.0,39,1008.0,12.144578313253012,4.49026275761127,39,2143.0,0.1594489388481452,39,2143.0
170.0,43,711.0,7.813186813186813,3.9514840355539604,40,2332.0,0.13693912966051372,40,2332.0
175.0,50,842.0,8.591836734693878,3.0434131233611557,47,2503.0,0.10016379313063975,47,2503.0
180.0,50,952.0,9.616161616161616,3.2958680030902636,49,2651.0,0.1139217678899253,49,2651.0
185.0,60,1220.0,11.73076923076923,3.353719889212937,60,2848.0,0.06462618746661807,60,2848.0
190.0,68,1544.0,14.566037735849056,3.611684435589738,67,3167.0,0.08822254710001444,67,3167.0
195.0,72,1891.0,17.672897196261683,2.994187101889595,72,3514.0,0.07242531032780389,72,3514.0
200.0,77,2149.0,20.27358490566038,2.2166710565499015,75,3606.0,0.03503161467383828,75,3606.0
205.0,72,2270.0,20.825688073394495,2.872297329984976,71,3437.0,0.08010460357475302,71,3437.0
210.0,66,2377.0,21.035398230088497,3.601277449116322,66,3286.0,0.1095686241852182,66,3286.0
215.0,70,2590.0,22.719298245614034,3.573183944891933,67,2955.0,0.09762065622704996,67,2955.0
220.0,78,2958.0,24.048780487804876,2.685540450958317,73,3306.0,0.07655363302494952,73,3306.0
225.0,80,2813.0,21.9765625,2.3934148705120246,73,3348.0,0.0856383756115237,73,3348.0
230.0,71,2623.0,19.574626865671643,3.0469547621270627,65,3286.0,0.08331348980106326,65,3286.0
235.0,74,2878.0,20.411347517730498,3.5519088188942938,71,3382.0,0.09222291811210478,71,3382.0
240.0,83,3253.0,23.919117647058822,2.9703200056656924,81,3742.0,0.0667370238159641,81,3742.0
245.0,88,3671.0,27.601503759398497,2.7987758782030765,88,4162.0,0.035739009525701235,88,4162.0
250.0,91,4116.0,32.40944881889764,2.55107712429798,91,4600.0,0.03784619864750591,91,4600.0
255.0,97,4582.0,36.07874015748032,2.547907578215144,95,5063.0,0.04604018050637792,95,5063.0
260.0,100,5064.0,39.874015748031496,2.3966240148550235,99,5545.0,0.03941767332539387,99,5545.0
265.0,96,5439.0,41.20454545454545,2.332281174108691,94,5915.0,0.05780122759505919,94,5915.0
270.0,91,5783.0,44.82945736434109,2.4903631610645385,90,6238.0,0.04581272271972961,90,6238.0
275.0,94,6233.0,47.21969696969697,3.0165218927734783,93,6627.0,0.036218203220826736,93,6627.0
280.0,95,6695.0,51.10687022900763,2.6997809819801395,95,7089.0,0.04248250992542038,95,7089.0
285.0,97,6925.0,55.4,2.0265394735097866,96,7313.0,0.05670551099930747,96,7313.0
290.0,92,6774.0,53.76190476190476,2.0845735603863256,92,7428.0,0.045929479266028216,92,7428.0
295.0,88,6632.0,50.62595419847328,2.7912638145016944,86,7460.0,0.07040615653105857,86,7460.0
300.0,88,6753.0,50.022222222222226,2.662930714975583,86,7784.0,0.08094935998500427,86,7784.0
305.0,92,7072.0,50.87769784172662,1.9690829374248606,88,8131.0,0.04820769614625558,88,8131.0
310.0,89,7386.0,51.65034965034965,2.533966229145352,87,8424.0,0.06200074211969643,87,8424.0
315.0,96,7832.0,53.27891156462585,3.0074282958685945,95,8829.0,0.052798598350164,95,8829.0
320.0,106,8334.0,57.082191780821915,2.6617584782469685,105,9328.0,0.03512097384530268,105,9328.0
325.0,97,6031.0,42.773049645390074,2.301443599391125,93,8362.0,0.041018350370046634,93,8362.0
330.0,59,2122.0,15.602941176470589,3.9898711415347834,58,6198.0,0.10490885259639332,58,6198.0
335.0,42,1121.0,8.06474820143885,6.450668901809318,42,4458.0,0.22310436415865242,42,4458.0
340.0,51,1002.0,7.1571428571428575,5.345832913289558,48,4266.0,0.1379735377037379,48,4266.0
345.0,69,1137.0,9.023809523809524,3.6054771564593553,64,4349.0,0.07954613173775756,64,4349.0
350.0,69,1046.0,8.864406779661017,2.4927099503720647,69,4478.0,0.058909609533833354,69,4478.0
355.0,77,1092.0,9.024793388429751,2.5274632604349647,75,4635.0,0.0700559279528515,75,4635.0
360.0,85,1290.0,10.403225806451612,2.444464095225054,84,4735.0,0.06411155999521012,84,4735.0
365.0,93,1735.0,13.244274809160306,2.2431164414806988,92,5137.0,0.04584564324901451,92,5137.0
370.0,99,2031.0,15.156716417910447,1.879112516648786,96,5520.0,0.049411216011595094,96,5520.0
375.0,98,2225.0,16.360294117647058,2.04783890653296,95,5823.0,0.03386969866521904,95,5823.0
380.0,97,2604.0,18.338028169014084,2.777147059771537,96,6167.0,0.06287669912400884,96,6167.0
