step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.498965415734399,27.86976434136218,1.9906974529544414,15.0,1.0714285714285714,0,0.0,0.44032848175597095,0,0.0
10.0,2,0.0,0.0,9.598056321576722,60.03793821930333,2.728997191786515,22.023,1.0010454545454546,0,0.0,0.8118937526539971,0,0.0
15.0,4,6.0,0.2,8.339959188429292,110.8152073749707,3.6938402458323565,29.072999999999997,0.9690999999999999,4,6.0,0.5004932487137892,4,6.0
20.0,9,41.0,1.1081081081081081,7.705627060325837,184.2161381611392,4.978814544895656,40.234,1.0874054054054054,9,41.0,0.3889457850280411,9,41.0
25.0,19,103.0,2.239130434782609,6.039463597171584,292.44161417138315,6.357426395030069,56.80899999999999,1.2349782608695654,18,103.0,0.2675157510791412,18,103.0
30.0,26,203.0,3.830188679245283,4.6893846663520256,427.7139356814295,8.070074258140181,59.434,1.1213962264150945,26,203.0,0.21098246437872875,26,203.0
35.0,15,121.0,2.1607142857142856,5.546857369211382,565.4800318558163,10.097857711711006,75.53099999999996,1.3487678571428572,15,169.0,0.27243351286534867,15,169.0
40.0,22,191.0,2.9384615384615387,6.0876825098451,707.2618829905285,10.880952046008135,97.04499999999996,1.493,19,197.0,0.2850036851524988,19,197.0
45.0,26,289.0,4.188405797101449,6.213767992526713,859.0697062406281,12.450285597690264,106.10699999999997,1.537782608695652,24,290.0,0.20454213048972403,24,290.0
50.0,34,426.0,6.264705882352941,4.462551693060301,837.1645431441744,12.311243281531981,127.00599999999996,1.867735294117647,30,427.0,0.15781930619698048,30,427.0
55.0,25,323.0,4.614285714285714,5.363522894622758,942.0010880517012,13.457158400738589,129.646,1.8520857142857141,22,336.0,0.23488613433021213,22,336.0
60.0,30,451.0,6.178082191780822,6.072512198642547,1056.3950804319386,14.471165485369019,147.48699999999994,2.0203698630136984,28,452.0,0.1865458370460882,28,452.0
65.0,33,593.0,7.506329113924051,6.047525478789624,1209.099211586227,15.305053311218064,180.91199999999995,2.2900253164556963,31,594.0,0.15375853057933525,31,594.0
70.0,39,767.0,10.652777777777779,4.090561456053951,1114.0581449127983,15.473029790455533,187.82799999999995,2.608722222222222,36,765.0,0.12760929584528038,36,765.0
75.0,43,970.0,13.472222222222221,3.803440140388116,1319.6072298444678,18.327878192284278,210.25099999999995,2.920152777777778,43,971.0,0.09757153717220551,43,971.0
80.0,49,1199.0,16.2027027027027,3.016557253094334,1550.4876843770298,20.952536275365276,247.99299999999997,3.3512567567567566,47,1200.0,0.0809828140363547,47,1200.0
85.0,52,1446.0,18.77922077922078,3.1512990590587395,1823.9343181211186,23.687458676897645,258.202,3.3532727272727274,51,1446.0,0.08437682139643628,51,1446.0
90.0,55,1712.0,21.4,2.2348474378933667,2111.5731802690407,26.394664753363013,279.6719999999999,3.4959000000000002,52,1703.0,0.07823412520618901,52,1703.0
95.0,62,2013.0,24.548780487804876,2.176289135677929,2428.8716991311453,29.62038657477007,265.71,3.240365853658537,58,1984.0,0.08662254110445185,58,1984.0
100.0,47,1434.0,16.482758620689655,2.6855127036290356,2756.5250609345435,31.684196102695893,268.206,3.082827586206896,40,1791.0,0.09795066713850478,40,1791.0
105.0,39,1285.0,14.438202247191011,4.4339537253803165,3045.791722321806,34.2223789024922,252.422,2.8362022471910113,32,1624.0,0.19099819023440678,32,1624.0
110.0,34,1302.0,14.152173913043478,5.230701942658401,3211.216527118707,34.90452746868159,253.44199999999998,2.754804347826087,30,1546.0,0.2267051689706898,30,1546.0
115.0,37,1431.0,16.448275862068964,4.861296123589084,3091.5548107536492,35.53511276728333,303.496,3.4884597701149422,31,1646.0,0.20629762249645883,31,1646.0
120.0,40,1585.0,17.808988764044944,4.1555733197053355,3044.631218067074,34.20933952884353,397.92199999999997,4.4710337078651685,37,1844.0,0.13858911709086025,37,1844.0
125.0,49,1789.0,20.10112359550562,3.954063131729584,3182.5831714053497,35.75936147646461,463.139,5.203808988764045,48,2052.0,0.1271195775658036,48,2052.0
130.0,39,1600.0,17.77777777777778,3.7710166939755285,3299.686756306952,36.66318618118835,554.63,6.162555555555553,39,1963.0,0.09689390661581708,39,1963.0
135.0,41,1784.0,19.822222222222223,4.934440348216197,3257.1191736071655,36.19021304007963,613.3649999999999,6.8151666666666655,40,2050.0,0.1287647383267908,40,2050.0
140.0,49,2011.0,21.16842105263158,5.119020174779093,3380.406360398031,35.58322484629507,639.621,6.732852631578947,47,2272.0,0.09025649068762585,47,2272.0
145.0,58,2267.0,23.86315789473684,4.222110425628027,3389.8035606777858,35.6821427439767,740.389,7.7935684210526315,53,2518.0,0.08935165007069884,53,2518.0
150.0,60,2536.0,29.149425287356323,3.1687978929883314,3406.1869264291795,39.151573867002064,743.6179999999999,8.547333333333333,53,2769.0,0.08118624013014127,53,2769.0
155.0,61,2830.0,33.69047619047619,2.833596562633689,3657.433754841637,43.54087803382901,694.5099999999999,8.267976190476189,54,3028.0,0.09078111511640627,54,3028.0
160.0,62,3132.0,37.285714285714285,2.6564599415623524,3973.477622685198,47.30330503196664,640.6529999999999,7.626821428571428,55,3295.0,0.0960460672671626,55,3295.0
