step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.477980170385649,25.76006178466676,1.840004413190483,15.0,1.0714285714285714,0,0.0,0.5377667253691089,0,0.0
10.0,2,0.0,0.0,9.744809252988754,54.08419152029302,2.4583723418315007,22.023,1.0010454545454546,0,0.0,0.7775023856105188,0,0.0
15.0,3,3.0,0.1,8.160689097037714,107.72330703864836,3.590776901288279,29.072999999999997,0.9690999999999999,3,3.0,0.4659326741800786,3,3.0
20.0,9,37.0,1.0,7.730038185451056,181.40342590552723,4.902795294743979,40.234,1.0874054054054054,9,37.0,0.394190180877011,9,37.0
25.0,16,97.0,2.108695652173913,6.463629340535747,283.30604863763807,6.158827144296478,53.809000000000005,1.1697608695652175,15,97.0,0.24626480404223716,15,97.0
30.0,21,179.0,3.58,5.531112163000526,387.5320246988808,7.750640493977616,58.70900000000001,1.1741800000000002,21,179.0,0.24994960103049335,21,179.0
35.0,26,287.0,5.314814814814815,4.292468384999417,533.5967422406704,9.88142115260501,73.00099999999996,1.3518703703703703,26,287.0,0.19100932601558765,26,287.0
40.0,37,431.0,7.065573770491803,2.840807835823309,708.9666097048353,11.62240343778418,95.59499999999996,1.5671311475409833,34,431.0,0.12450551829965906,34,431.0
45.0,38,480.0,7.2727272727272725,3.590421064463687,939.4175344550302,14.233599006894389,107.65699999999997,1.6311666666666669,36,523.0,0.16436826605830412,36,523.0
50.0,40,642.0,8.56,3.684164466383649,1178.3560254564486,15.711413672752649,128.90899999999996,1.7187866666666665,37,653.0,0.11479869393623589,37,653.0
55.0,48,852.0,10.265060240963855,3.7431081147267653,1439.9229499510484,17.34846927651865,157.82999999999993,1.9015662650602407,44,853.0,0.1419338526153283,44,853.0
60.0,53,1092.0,12.551724137931034,3.347735880871609,1625.4094878879068,18.682867676872487,174.87899999999993,2.010103448275862,50,1088.0,0.13524049545035843,50,1088.0
65.0,60,1368.0,15.032967032967033,2.616322165877262,1906.4086209132067,20.94954528476052,184.89899999999994,2.031857142857143,54,1349.0,0.08554392189672738,54,1349.0
70.0,70,1699.0,17.88421052631579,2.1471345755921467,2232.4592822407462,23.49957139200785,179.81099999999995,1.8927473684210527,61,1646.0,0.07010155557277623,61,1646.0
75.0,76,2061.0,21.03061224489796,1.7881886011438306,2601.6004943475477,26.54694381987294,179.81499999999994,1.83484693877551,66,1968.0,0.0724342807628152,66,1968.0
80.0,79,2397.0,23.5,1.3201973673329135,3026.5693431419163,29.672248462175645,169.475,1.6615196078431376,71,2312.0,0.048779962919475436,71,2312.0
85.0,83,2806.0,27.24271844660194,1.537951644219055,3426.4353360283203,33.26636248571183,169.387,1.6445339805825243,76,2687.0,0.06399320726903636,76,2687.0
90.0,89,3231.0,30.4811320754717,1.1833683703093205,3818.280352141453,36.02151275605143,172.52799999999996,1.627622641509434,82,3077.0,0.03989258156483024,82,3077.0
95.0,94,3688.0,33.8348623853211,1.1304132194324807,4295.743957397737,39.41049502199759,173.81999999999996,1.5946788990825687,87,3499.0,0.050114194455295746,87,3499.0
100.0,80,2617.0,22.756521739130434,1.879045269845727,4785.176576159853,41.61023109704218,175.99199999999996,1.5303652173913043,71,3198.0,0.0597223842577232,71,3198.0
