step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.767268026123444,29.77044525576821,1.9846963503845472,18.0,1.2,0,0.0,0.36105351461268126,0,0.0
10.0,3,0.0,0.0,9.77154535830579,55.57098265083472,2.646237269087368,54.742999999999995,2.606809523809524,1,0.0,0.7821915784464174,1,0.0
15.0,3,2.0,0.08333333333333333,5.849362140743401,94.83222310309705,3.9513426292957092,57.074,2.378083333333333,2,2.0,0.37636307339004005,2,2.0
20.0,14,47.0,1.8076923076923077,4.506021138485002,171.2567978051115,6.58679991558121,58.003,2.2308846153846154,12,44.0,0.1793478555481839,12,44.0
25.0,15,114.0,4.222222222222222,3.849274339622707,259.3757972780223,9.606511010297124,58.761,2.176333333333333,15,114.0,0.06099968129602588,15,114.0
30.0,17,196.0,6.758620689655173,3.0735639424563312,353.50033905384515,12.189666863925698,60.394000000000005,2.082551724137931,17,196.0,0.07532527036987367,17,196.0
35.0,15,196.0,6.758620689655173,4.143100846488244,432.44599626593134,14.911930905721775,58.491000000000014,2.0169310344827585,13,205.0,0.09299463560593671,13,205.0
40.0,13,261.0,8.419354838709678,4.829285935061896,526.2082559710134,16.97445987003269,59.64200000000001,1.923935483870968,13,261.0,0.1455630855103025,13,261.0
45.0,16,333.0,10.090909090909092,4.776890228350523,625.6554877675738,18.959257205077996,61.153000000000006,1.8531212121212124,15,331.0,0.07214376450261693,15,331.0
50.0,19,415.0,12.96875,4.084658609742214,670.8384662628642,20.963702070714508,58.278000000000006,1.8211874999999997,18,415.0,0.1037073840048104,18,415.0
