step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
115.0,22,1302.0,33.38461538461539,3.1361385891781968,1643.24908537913,42.13459193279821,64.92900000000002,1.6648461538461543,22,1319.0,0.07345543481071198,22,1319.0
120.0,27,1415.0,32.906976744186046,3.390991032414436,1786.3515960983514,41.543060374380254,68.01600000000002,1.5817674418604653,23,1420.0,0.04607924127116916,23,1420.0
125.0,28,1536.0,34.90909090909091,2.9195610810332933,1906.9405601808992,43.33955818592953,69.94800000000002,1.5897272727272729,25,1538.0,0.05991245198926747,25,1538.0
130.0,27,1657.0,37.65909090909091,3.8329746818330075,2017.5495381871212,45.85339859516185,70.59900000000002,1.6045227272727274,27,1664.0,0.05252128005405311,27,1664.0
135.0,29,1794.0,40.77272727272727,3.496656568601058,2123.833721335327,48.268948212166535,71.35800000000002,1.6217727272727274,28,1800.0,0.09863640486697187,28,1800.0
140.0,32,1947.0,44.25,2.581107297559316,2205.9276015488713,50.1347182170198,71.82400000000001,1.6323636363636367,30,1948.0,0.03091907982627016,30,1948.0
145.0,32,2096.0,46.577777777777776,2.2742362988352456,2359.450972079211,52.43224382398247,72.69400000000002,1.6154222222222223,31,2103.0,0.04945699276284264,31,2103.0
150.0,36,2260.0,46.12244897959184,2.563066590085371,2539.260918400226,51.82165139592298,72.08300000000003,1.4710816326530611,34,2267.0,0.02611816654802805,34,2267.0
155.0,34,2430.0,49.59183673469388,2.853839464561144,2711.8361211912434,55.343594310025374,72.28200000000002,1.4751428571428573,34,2437.0,0.07037150670484422,34,2437.0
160.0,39,2610.0,51.1764705882353,1.7976583313771441,2904.6561948293265,56.95404303586915,72.64000000000001,1.4243137254901963,39,2617.0,0.0729283482156206,39,2617.0
165.0,44,2815.0,55.19607843137255,1.0453962305513087,3125.0695131350803,61.27587280657019,78.23600000000002,1.5340392156862748,44,2822.0,0.0005367940693632608,44,2822.0
170.0,32,1325.0,25.0,1.8529931396600203,3352.621840101366,63.257015850969154,80.08300000000003,1.5110000000000003,31,2263.0,0.10101918402348557,31,2263.0
175.0,39,1433.0,25.140350877192983,1.9873863681821877,3587.936681829484,62.94625757595588,82.17400000000002,1.4416491228070176,35,2105.0,0.04011483131379767,35,2105.0
