step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
485.0,94,1139.0,6.090909090909091,2.662878312332008,92,12935.0,0.10262466998860813,92,12935.0
490.0,99,1281.0,6.671875,2.846467786826294,97,13142.0,0.10311912652072575,97,13142.0
495.0,108,1499.0,7.973404255319149,2.819849674879464,106,13411.0,0.10233232622642197,106,13411.0
500.0,107,1762.0,9.628415300546449,2.678855763263222,105,13764.0,0.11155510963255566,105,13764.0
505.0,102,1955.0,10.567567567567568,2.863459871615182,100,14109.0,0.11628193580062234,100,14109.0
510.0,89,2082.0,11.43956043956044,3.0301651042589017,89,14520.0,0.1351482760794167,89,14520.0
515.0,81,1831.0,10.286516853932584,3.1856395401833875,81,14425.0,0.15588321140714323,81,14425.0
520.0,87,1560.0,8.666666666666666,3.099554200221289,85,14645.0,0.14844788634834258,85,14645.0
525.0,100,1868.0,10.377777777777778,2.7356361100291977,98,14975.0,0.1217566457770132,98,14975.0
530.0,117,2360.0,12.896174863387978,2.200506637223735,117,15480.0,0.08344061258227384,117,15480.0
535.0,121,2451.0,13.39344262295082,1.8220844745350382,121,15316.0,0.06703026140059208,121,15316.0
540.0,103,2252.0,12.23913043478261,2.4828560436030322,103,14328.0,0.08323671320794855,103,14328.0
545.0,103,2160.0,11.25,2.4972890497858127,101,14597.0,0.08893255418226331,101,14597.0
550.0,103,2052.0,10.743455497382199,2.699299433341027,101,14870.0,0.10395300475805765,101,14870.0
555.0,102,2087.0,10.757731958762887,3.0432526597385183,100,15116.0,0.10715971741875312,100,15116.0
560.0,105,2059.0,10.723958333333334,3.13748938054424,103,15435.0,0.11726717441262488,103,15435.0
565.0,101,1935.0,10.13089005235602,2.815825646716259,101,15938.0,0.0996448698726567,101,15938.0
570.0,95,1522.0,8.182795698924732,2.710945973888935,95,15863.0,0.1044423803879741,95,15863.0
575.0,80,1074.0,6.033707865168539,2.747396017006523,78,15859.0,0.11966805187376861,78,15859.0
580.0,80,1025.0,5.662983425414365,2.8024026982203925,78,16098.0,0.12370651490889699,78,16098.0
585.0,92,1388.0,7.754189944134078,2.736642631984505,92,16465.0,0.13052676473255817,92,16465.0
590.0,103,1544.0,8.437158469945356,2.3544346840538553,103,16216.0,0.10125691705719282,103,16216.0
595.0,101,1489.0,8.005376344086022,2.62466673293592,100,15473.0,0.10576439593391956,100,15473.0
600.0,101,1494.0,7.989304812834225,2.776136663103785,100,15390.0,0.10937773253547556,100,15390.0
605.0,106,1510.0,7.9057591623036645,2.4747351863217135,106,15828.0,0.07860947351424453,106,15828.0
610.0,94,1329.0,6.958115183246074,2.4042665737623055,94,15817.0,0.07717367162011783,94,15817.0
615.0,93,1041.0,5.338461538461538,2.427339987215054,91,16160.0,0.07980382016923487,91,16160.0
620.0,95,1006.0,5.239583333333333,2.3960303230817597,93,16510.0,0.08901170520689328,93,16510.0
625.0,103,1138.0,6.151351351351352,2.1041354599708373,103,16999.0,0.08782186640201216,103,16999.0
630.0,92,1038.0,5.641304347826087,2.2995549634642294,92,16631.0,0.09819001231456538,92,16631.0
635.0,81,842.0,4.651933701657459,2.509584553045485,80,15929.0,0.10261755480214567,80,15929.0
640.0,85,898.0,4.854054054054054,2.637825652088162,83,16051.0,0.09173279469494859,83,16051.0
645.0,95,1071.0,5.852459016393443,2.696248834232129,93,16257.0,0.09919955449058898,93,16257.0
650.0,93,1193.0,6.2460732984293195,2.5662637964767407,93,16669.0,0.08807573778155203,93,16669.0
655.0,89,1090.0,5.677083333333333,2.7703560578218784,89,16632.0,0.10744416243064447,89,16632.0
660.0,90,894.0,4.780748663101604,2.5450580225919,88,16973.0,0.11246877107863007,88,16973.0
665.0,97,1025.0,5.570652173913044,2.4753904945729333,95,17355.0,0.1106461641131548,95,17355.0
670.0,95,1196.0,6.644444444444445,2.0926284533114208,95,17819.0,0.09587834082512242,95,17819.0
675.0,94,1196.0,6.644444444444445,2.1681493440803767,94,17468.0,0.09490630371935732,94,17468.0
680.0,95,1156.0,6.49438202247191,2.369735314542625,95,16328.0,0.09708487749200742,95,16328.0
685.0,99,1230.0,6.577540106951871,2.3914172373323335,97,16127.0,0.08173124620713629,97,16127.0
690.0,96,1314.0,6.87958115183246,2.7739306539556106,94,16261.0,0.10392058215997245,94,16261.0
695.0,98,1445.0,7.487046632124352,2.8274385149987147,98,16742.0,0.10711860024906418,98,16742.0
700.0,93,1270.0,6.614583333333333,2.67994304030904,93,16662.0,0.10436102172375472,93,16662.0
705.0,84,919.0,4.888297872340425,2.7631791360915074,83,16519.0,0.11526842481232535,83,16519.0
710.0,86,929.0,5.048913043478261,2.4678915593762665,84,16826.0,0.10723954869429009,84,16826.0
715.0,88,1079.0,5.9944444444444445,2.219385106795638,88,17259.0,0.09207611541138688,88,17259.0
720.0,87,1014.0,5.696629213483146,2.225257474245663,87,16829.0,0.08473311026726385,87,16829.0
725.0,90,965.0,5.132978723404255,2.566015849143647,89,15828.0,0.09539058998657066,89,15828.0
