step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
130.0,61,996.0,9.576923076923077,4.599712469743289,61,1368.0,0.23630806270512505,61,1368.0
135.0,57,915.0,8.551401869158878,3.766945698590925,57,1471.0,0.1808924632583547,57,1471.0
140.0,50,613.0,5.5225225225225225,4.6322319794552165,50,1361.0,0.20560087000791005,50,1361.0
145.0,48,479.0,4.165217391304348,4.7586208112659625,46,1406.0,0.22161336370657453,46,1406.0
150.0,34,323.0,2.7606837606837606,5.350695989828173,32,1470.0,0.26500978020312316,32,1470.0
155.0,33,335.0,2.7916666666666665,5.749522005568851,31,1519.0,0.28495068935212287,31,1519.0
160.0,36,455.0,3.7295081967213113,5.825571084397474,34,1604.0,0.28916362878808405,34,1604.0
165.0,42,642.0,5.305785123966942,5.597632543091633,40,1711.0,0.2840626933224087,40,1711.0
170.0,49,811.0,6.647540983606557,5.010280110615553,49,1911.0,0.2494220688251584,49,1911.0
175.0,47,647.0,5.30327868852459,4.691637714683527,47,1936.0,0.23370020562055394,47,1936.0
180.0,60,878.0,7.256198347107438,3.8515255496646668,58,2061.0,0.16980902163503458,58,2061.0
185.0,68,1161.0,9.141732283464567,3.526907947253276,66,2333.0,0.16154791554740033,66,2333.0
190.0,77,1463.0,11.51968503937008,3.425662420705581,77,2681.0,0.17100723090931116,77,2681.0
195.0,75,1425.0,10.961538461538462,3.2668623559381875,75,2782.0,0.1510733441800359,75,2782.0
200.0,63,1117.0,8.462121212121213,3.7630193518422552,63,2628.0,0.17323929652007328,63,2628.0
205.0,62,926.0,6.859259259259259,3.882284143218602,60,2795.0,0.18238498276013307,60,2795.0
210.0,61,777.0,5.630434782608695,3.980281412620241,59,2983.0,0.1718589335276567,59,2983.0
215.0,57,662.0,4.728571428571429,4.257475355472572,55,3151.0,0.18043447962451759,55,3151.0
220.0,54,701.0,4.7687074829931975,4.476093255445571,52,3287.0,0.19275925803803448,52,3287.0
225.0,54,808.0,5.611111111111111,4.279192370922636,54,3540.0,0.20872974970340755,54,3540.0
230.0,51,583.0,4.020689655172414,3.806718114444065,51,3566.0,0.19412743425321394,51,3566.0
235.0,61,745.0,5.068027210884353,3.7969698874057647,59,3721.0,0.18769037049823226,59,3721.0
240.0,70,1063.0,7.3310344827586205,3.4020432171985955,68,3975.0,0.1634266029222203,68,3975.0
245.0,84,1415.0,9.758620689655173,2.607836399147578,84,4358.0,0.12079220113261738,84,4358.0
250.0,90,1460.0,9.733333333333333,2.314125434999711,90,4460.0,0.09088073456347287,90,4460.0
255.0,80,1281.0,8.211538461538462,3.1634795126741406,80,4114.0,0.11899418524601317,80,4114.0
260.0,78,1194.0,7.6050955414012735,3.3314652917024774,76,4268.0,0.13266411098981734,76,4268.0
265.0,75,1105.0,6.90625,3.5889068524638867,73,4539.0,0.14864887593895723,73,4539.0
270.0,78,1140.0,6.993865030674846,3.858560860757469,76,4745.0,0.1525480557433567,76,4745.0
275.0,74,1166.0,7.109756097560975,3.8268090921925686,72,5014.0,0.16077314788429836,72,5014.0
280.0,73,1209.0,7.55625,3.3937220794157894,71,5278.0,0.15244210999813748,71,5278.0
285.0,71,1368.0,8.713375796178344,3.769913091058015,69,5504.0,0.16389732947627572,69,5504.0
290.0,70,1559.0,9.74375,4.0013114456897325,68,5776.0,0.17710812673579684,68,5776.0
295.0,74,1748.0,10.925,3.7760600032437837,74,6128.0,0.17924816000509558,74,6128.0
300.0,78,1482.0,9.148148148148149,3.5546491984129043,78,6154.0,0.17478035265275407,78,6154.0
305.0,73,1454.0,8.975308641975309,3.338543112455916,71,6179.0,0.16456136250325296,71,6179.0
