step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.34833472983446,0,0.0,0.4157479854331341,0,0.0
10.0,2,0.0,0.0,10.443419223749158,1,0.0,0.79889013436767,1,0.0
15.0,4,3.0,0.13043478260869565,5.757655481527762,3,3.0,0.36633040002646183,3,3.0
20.0,13,44.0,1.76,4.483985550650482,12,44.0,0.14974336678591393,12,44.0
25.0,15,115.0,4.423076923076923,3.3477280891025933,15,115.0,0.0861744571620825,15,115.0
30.0,18,200.0,6.896551724137931,2.4609284702245025,18,200.0,0.07442276747525528,18,200.0
35.0,10,143.0,4.46875,4.3850460267422715,9,197.0,0.15807324130393288,9,197.0
40.0,17,212.0,6.424242424242424,3.2232892260304613,13,239.0,0.10390424281002024,13,239.0
45.0,20,293.0,8.371428571428572,3.277679795479621,19,326.0,0.050416731850158186,19,326.0
50.0,23,402.0,11.166666666666666,3.260503509021705,21,428.0,0.08130298053087963,21,428.0
55.0,25,514.0,13.526315789473685,1.8527559321949245,22,526.0,0.04402705310187434,22,526.0
60.0,31,656.0,16.82051282051282,1.946512470718623,25,646.0,0.034229864494071664,25,646.0
65.0,30,806.0,18.74418604651163,1.753666392777964,25,771.0,0.06444879570061922,25,771.0
70.0,36,976.0,21.217391304347824,1.3453820289561746,28,908.0,0.07834164907170059,28,908.0
75.0,42,1171.0,24.914893617021278,1.0565168007845573,32,1059.0,0.018071635138064427,32,1059.0
80.0,47,1382.0,26.576923076923077,0.5589677940905425,34,1221.0,0.01978594634761258,34,1221.0
85.0,44,1602.0,27.620689655172413,1.5892026059976507,33,1386.0,0.02924846122110562,33,1386.0
90.0,47,1832.0,31.586206896551722,1.043532380878767,35,1558.0,0.06572709392953202,35,1558.0
95.0,55,2094.0,34.32786885245902,0.8903095673770617,38,1743.0,0.02321589322622343,38,1743.0
100.0,58,2372.0,38.25806451612903,0.6660340016778498,39,1934.0,9.18434070227578e-05,39,1934.0
105.0,58,2660.0,41.5625,0.5179798411637703,39,2129.0,2.0667762782658646e-07,39,2129.0
110.0,60,2954.0,46.15625,0.46798478288608414,39,2324.0,0.0,39,2324.0
115.0,61,3255.0,50.07692307692308,0.36576493635645735,39,2519.0,0.0,39,2519.0
120.0,65,3568.0,54.06060606060606,0.21068449014965715,39,2714.0,0.0,39,2714.0
125.0,64,3888.0,55.542857142857144,0.5923633536820169,39,2909.0,0.0,39,2909.0
130.0,67,4211.0,59.309859154929576,0.29260868989084987,39,3104.0,0.02278406836413373,39,3104.0
135.0,68,4547.0,63.15277777777778,0.40117241221755506,39,3299.0,0.0,39,3299.0
140.0,69,4888.0,66.95890410958904,0.3537886744671312,39,3494.0,0.02249109658730717,39,3494.0
145.0,71,5240.0,71.78082191780823,0.3336009957680915,39,3689.0,0.0,39,3689.0
150.0,71,5595.0,76.64383561643835,0.16622457877921926,39,3884.0,0.0,39,3884.0
155.0,72,5955.0,81.57534246575342,0.09032874322280622,39,4079.0,0.0,39,4079.0
