step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.4343563790293405,0,0.0,0.4729577173223281,0,0.0
10.0,2,0.0,0.0,9.584192971562265,1,0.0,0.749300305721549,1,0.0
15.0,3,4.0,0.18181818181818182,6.46174514902321,3,4.0,0.34196772810143516,3,4.0
20.0,11,45.0,1.7307692307692308,4.39968325848915,11,46.0,0.14908568642282147,11,46.0
25.0,15,117.0,4.333333333333333,4.3725781659055265,15,118.0,0.17342499242489798,15,118.0
30.0,17,199.0,7.96,2.9195687831455603,17,200.0,0.025850255977948124,17,200.0
35.0,19,289.0,10.321428571428571,2.9272566754545073,19,290.0,0.04738859319335927,19,290.0
40.0,19,384.0,13.241379310344827,2.7780626006907196,19,385.0,0.11654056613941098,19,385.0
45.0,22,489.0,16.3,2.808543447915371,21,486.0,0.00040240935923029514,21,486.0
50.0,23,604.0,18.303030303030305,2.5409367613053715,22,596.0,0.04934008551111594,22,596.0
55.0,24,713.0,20.37142857142857,2.81319229347604,23,709.0,0.0662286978473719,23,709.0
60.0,18,575.0,16.428571428571427,2.7163760005294284,16,660.0,0.06780727483305667,16,660.0
65.0,22,669.0,17.153846153846153,3.786136544628165,17,640.0,0.05831182251299284,17,640.0
70.0,25,784.0,19.6,4.052377068277458,19,728.0,0.04693828063317359,19,728.0
75.0,25,893.0,24.805555555555557,2.535130492948323,19,823.0,0.07138923727101928,19,823.0
80.0,27,787.0,20.17948717948718,2.196242764622977,20,802.0,0.025230656388526358,20,802.0
85.0,25,893.0,22.897435897435898,3.505535376458197,18,765.0,0.1521268765518399,18,765.0
90.0,27,1019.0,26.128205128205128,3.168424460936521,21,859.0,0.07162526921148699,21,859.0
95.0,31,1166.0,29.15,1.9912746869995737,25,976.0,0.00710320299457659,25,976.0
100.0,24,1131.0,29.0,2.24961196780534,18,958.0,0.07930054499053187,18,958.0
105.0,24,1221.0,29.78048780487805,3.8336667832775118,16,967.0,0.08357442593951954,16,967.0
110.0,25,1344.0,32.0,5.1032106625799845,18,1055.0,0.04690742713587298,18,1055.0
115.0,24,1455.0,36.375,3.7142659994763205,18,1145.0,0.12077341376177395,18,1145.0
120.0,29,1579.0,43.861111111111114,2.4351323148230453,21,1239.0,0.08256466632367104,21,1239.0
125.0,28,1697.0,47.138888888888886,1.7830797633986037,21,1327.0,0.020277512922297108,21,1327.0
130.0,30,1838.0,48.36842105263158,1.7913818153160144,23,1438.0,0.052371842708195906,23,1438.0
135.0,33,1988.0,48.48780487804878,1.8401844307480597,25,1558.0,0.08077892383455151,25,1558.0
140.0,33,2148.0,55.07692307692308,1.451958128540618,27,1688.0,0.08450354634333843,27,1688.0
145.0,33,2059.0,50.21951219512195,1.0545698624827018,27,1696.0,0.03292014093285783,27,1696.0
150.0,35,1913.0,43.47727272727273,1.6510062571632231,26,1571.0,0.021586260240224663,26,1571.0
155.0,32,2069.0,45.977777777777774,2.2980153480692023,26,1518.0,0.023654092293044538,26,1518.0
160.0,34,2236.0,47.57446808510638,2.5107749467395406,28,1655.0,0.05098216184422925,28,1655.0
165.0,30,2145.0,44.6875,2.564572489990216,21,1620.0,0.07314095530442453,21,1620.0
170.0,29,2249.0,47.851063829787236,3.8550016130913467,20,1603.0,0.09327569927308753,20,1603.0
175.0,29,2376.0,47.52,4.473161461692854,20,1694.0,0.07315496920490111,20,1694.0
180.0,31,2517.0,55.93333333333333,3.748613620061899,20,1794.0,0.07590230982947184,20,1794.0
185.0,29,2662.0,70.05263157894737,2.091338467216226,20,1894.0,0.0695947091247383,20,1894.0
190.0,31,2806.0,71.94871794871794,1.5587409115101236,23,2005.0,0.05685989874386398,23,2005.0
195.0,32,2959.0,70.45238095238095,2.1216092300299874,22,2114.0,0.04116066809375342,22,2114.0
200.0,33,3120.0,72.55813953488372,2.1389159048159843,23,2225.0,0.04053773492397735,23,2225.0
205.0,34,3287.0,73.04444444444445,2.383909916086391,23,2340.0,0.10308413381731425,23,2340.0
210.0,35,3457.0,75.15217391304348,2.2003481650545007,23,2455.0,0.08561226141499773,23,2455.0
215.0,36,3632.0,80.71111111111111,1.9887345907962517,25,2575.0,0.04595776000662164,25,2575.0
220.0,39,3823.0,84.95555555555555,1.5263657214602537,27,2709.0,0.03250324575640241,27,2709.0
225.0,39,4018.0,87.34782608695652,1.0707834820854008,27,2844.0,0.0,27,2844.0
230.0,39,4213.0,87.77083333333333,1.884617818626978,27,2979.0,0.05534245231965966,27,2979.0
235.0,41,4415.0,93.93617021276596,1.3603677375923378,27,3114.0,0.033786760876795066,27,3114.0
240.0,43,4622.0,92.44,1.1693958952683448,28,3251.0,0.017418980983403512,28,3251.0
245.0,42,4832.0,94.74509803921569,1.8236745147205082,28,3391.0,0.04717231762774901,28,3391.0
250.0,44,5049.0,99.0,1.5786444600632876,29,3533.0,0.06290172926515931,29,3533.0
255.0,45,5269.0,97.57407407407408,1.3705145182178848,29,3678.0,0.030134070081360733,29,3678.0
260.0,45,5492.0,98.07142857142857,1.899286539371745,29,3823.0,0.0,29,3823.0
265.0,46,5719.0,102.125,1.7265598970540326,29,3968.0,0.0421400186470226,29,3968.0
270.0,48,5945.0,102.5,1.6344081010547191,30,4115.0,0.07772223864166772,30,4115.0
275.0,49,6185.0,108.50877192982456,1.4176563178749315,32,4270.0,0.0014963693405085313,32,4270.0
280.0,50,6435.0,109.0677966101695,1.6115455815263016,33,4435.0,0.02682172789880662,33,4435.0
285.0,50,6685.0,113.30508474576271,1.6831139413297878,33,4600.0,0.10164844291733234,33,4600.0
290.0,51,6937.0,119.60344827586206,1.1674039434751762,33,4765.0,0.027257393350394864,33,4765.0
295.0,53,7197.0,124.08620689655173,0.9775581666625373,35,4935.0,0.05091780785049273,35,4935.0
300.0,53,7462.0,128.6551724137931,0.7789059441452356,35,5110.0,0.02683369280522629,35,5110.0
305.0,52,7710.0,130.67796610169492,1.350618249315601,35,5285.0,0.0,35,5285.0
310.0,52,7970.0,132.83333333333334,1.2767249335106472,35,5460.0,0.05139537503869666,35,5460.0
315.0,53,8230.0,137.16666666666666,1.116668944027027,36,5635.0,0.026315836385836153,36,5635.0
320.0,54,8492.0,139.21311475409837,1.3403583868852063,35,5810.0,0.021182041802943103,35,5810.0
325.0,53,8757.0,141.24193548387098,1.459797915774475,35,5985.0,0.026108601791771283,35,5985.0
330.0,54,9026.0,147.9672131147541,1.175597521288081,36,6164.0,0.050390637549129445,36,6164.0
335.0,54,9296.0,149.93548387096774,1.4480194017403962,36,6344.0,0.024765818748960333,36,6344.0
340.0,54,9566.0,149.46875,1.3211791090169291,36,6524.0,0.03434027337430791,36,6524.0
345.0,50,9026.0,145.58064516129033,1.1980074858631677,32,6228.0,0.06295175887758923,32,6228.0
