step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.939836846770097,0,0.0,0.3655466721506715,0,0.0
10.0,2,0.0,0.0,9.791168480207318,1,0.0,0.754890705027907,1,0.0
15.0,1,1.0,0.045454545454545456,6.939815330019866,1,1.0,0.3880924502646994,1,1.0
20.0,12,40.0,1.5384615384615385,4.770284649960805,12,40.0,0.10919432904349069,12,40.0
25.0,16,113.0,4.346153846153846,4.308099374330739,16,113.0,0.1640143524858754,16,113.0
30.0,15,157.0,6.541666666666667,1.8790877043822558,15,157.0,0.024572539472110147,15,157.0
35.0,14,166.0,5.928571428571429,2.797134166809169,13,201.0,0.11775575895517826,13,201.0
40.0,16,241.0,8.033333333333333,3.284137047942325,15,259.0,0.11347795579912286,15,259.0
45.0,20,326.0,10.866666666666667,2.629335546194892,20,351.0,0.012618420665951518,20,351.0
50.0,21,420.0,12.727272727272727,2.4597782790037654,21,432.0,0.06490093132811528,21,432.0
55.0,24,535.0,15.285714285714286,2.459565884206513,23,542.0,0.03357222201647981,23,542.0
60.0,27,665.0,19.0,1.8537456785232693,25,663.0,0.020768539338095686,25,663.0
65.0,31,811.0,20.275,1.1884000644113932,27,794.0,0.03441635716656729,27,794.0
70.0,30,752.0,18.341463414634145,1.3056566187731031,25,716.0,0.05730661016200372,25,716.0
75.0,29,709.0,16.488372093023255,2.501287572093481,20,681.0,0.09607975539170797,20,681.0
80.0,31,849.0,17.6875,3.1639621708484356,22,747.0,0.0027127778411865015,22,747.0
85.0,30,982.0,20.458333333333332,3.829616427216857,23,860.0,0.10176582546285662,23,860.0
90.0,31,1131.0,26.302325581395348,2.6173682627807007,25,979.0,0.0418849070516929,25,979.0
95.0,35,1300.0,30.952380952380953,1.1053596255461917,29,1118.0,0.03356211692194284,29,1118.0
100.0,37,1484.0,34.51162790697674,1.2956772424101628,31,1272.0,0.04584292176797853,31,1272.0
105.0,39,1673.0,36.369565217391305,1.3018473494617806,31,1427.0,0.04537371166779614,31,1427.0
110.0,39,1763.0,38.32608695652174,0.8274758997838303,31,1468.0,0.00017013543338060847,31,1468.0
115.0,38,1906.0,38.12,1.5484493638052765,29,1566.0,0.043459106722927826,29,1566.0
120.0,42,2104.0,40.46153846153846,1.970502645089681,30,1715.0,0.040131912802387454,30,1715.0
125.0,44,2313.0,44.48076923076923,1.593439741205139,32,1872.0,0.029649613262749258,32,1872.0
130.0,46,2521.0,48.48076923076923,0.5600958541688066,34,2025.0,0.017417287123531418,34,2025.0
135.0,49,2752.0,50.03636363636364,0.7324566452004007,34,2195.0,0.038804479197045605,34,2195.0
140.0,49,2993.0,54.41818181818182,1.0233024420342038,35,2370.0,0.054093222241525574,35,2370.0
145.0,52,3245.0,57.94642857142857,0.2658445096474989,37,2550.0,0.01827228508107417,37,2550.0
150.0,54,3481.0,59.0,0.334923263188825,37,2711.0,3.120690603785227e-05,37,2711.0
155.0,52,3737.0,61.26229508196721,1.0818114970173829,36,2888.0,0.018033010435226617,36,2888.0
160.0,55,4003.0,62.546875,1.2225664049600558,37,3070.0,0.005253677013347187,37,3070.0
165.0,58,4279.0,65.83076923076923,0.8195644515277525,37,3255.0,0.021071514505585975,37,3255.0
170.0,59,4568.0,69.21212121212122,0.5210260292193091,39,3449.0,0.023675279144642375,39,3449.0
175.0,64,4870.0,70.57971014492753,0.49668115881217556,42,3654.0,0.013895663753172256,42,3654.0
180.0,66,5186.0,73.04225352112677,0.6796263891970784,42,3864.0,0.04144136636834386,42,3864.0
185.0,65,5510.0,78.71428571428571,0.4141397036775481,42,4074.0,0.007239303999235339,42,4074.0
190.0,65,5562.0,76.1917808219178,0.5132275130673016,41,4007.0,0.011598762454195355,41,4007.0
195.0,60,5461.0,72.81333333333333,1.4431145679088988,34,3962.0,0.055913078775257787,34,3962.0
200.0,59,5753.0,74.71428571428571,2.143029705787471,34,3992.0,0.041429173409608076,34,3992.0
205.0,60,6053.0,77.6025641025641,1.818927396449467,35,4167.0,0.06209740607509519,35,4167.0
210.0,67,6375.0,86.14864864864865,0.7622039787331835,40,4359.0,0.045885129433107366,40,4359.0
215.0,68,6714.0,91.97260273972603,0.4393567270981264,42,4568.0,0.03917454381478116,42,4568.0
220.0,71,7066.0,96.79452054794521,0.23269847181094297,45,4790.0,0.019544910220492696,45,4790.0
225.0,71,7421.0,98.94666666666667,0.23665269424180319,45,5015.0,0.0002291980797951979,45,5015.0
230.0,69,7517.0,97.62337662337663,0.5967584481661391,43,4959.0,0.01406360746014869,43,4959.0
235.0,62,6764.0,89.0,1.3984120549063332,36,4682.0,0.05754707893685128,36,4682.0
