step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,8.301703091827221,0,0.0,0.45892444644031904,0,0.0
10.0,3,0.0,0.0,6.916016392823029,3,0.0,0.5033978983576283,3,0.0
15.0,1,1.0,0.03571428571428571,11.226783348470372,1,1.0,0.5337142711075538,1,1.0
20.0,7,20.0,0.5,7.760017302784144,7,20.0,0.37501515810003033,7,20.0
25.0,18,61.0,1.297872340425532,6.197299870401008,14,61.0,0.32952787006764683,14,61.0
30.0,20,113.0,2.306122448979592,5.464615215238795,16,113.0,0.18939995045843522,16,113.0
35.0,21,211.0,3.981132075471698,5.06222263480061,21,211.0,0.1816298660803114,21,211.0
40.0,36,342.0,5.181818181818182,4.5381921701642405,32,342.0,0.14425197601091352,32,342.0
45.0,43,507.0,7.140845070422535,4.503853083987438,39,507.0,0.10501222636984485,39,507.0
50.0,45,712.0,9.88888888888889,3.259804860055615,45,712.0,0.08756925016508861,45,712.0
55.0,50,949.0,12.486842105263158,2.9027448842730528,50,949.0,0.05252812964237895,50,949.0
60.0,46,969.0,11.4,3.3602240846868305,46,1051.0,0.08049722247552529,46,1051.0
65.0,47,1131.0,12.428571428571429,4.061549816378084,43,1150.0,0.10104646301745669,43,1150.0
70.0,52,1375.0,14.78494623655914,4.8327355735688515,45,1347.0,0.07640373334714375,45,1347.0
75.0,56,1647.0,17.52127659574468,3.4655508419946344,48,1584.0,0.05614191847311037,48,1584.0
80.0,60,1932.0,19.714285714285715,3.15902931592969,51,1837.0,0.07443572249039695,51,1837.0
85.0,68,2004.0,20.875,3.1132398871913325,56,1975.0,0.06569427418975458,56,1975.0
90.0,62,1906.0,18.326923076923077,2.537478797898748,49,2006.0,0.06113651508422669,49,2006.0
95.0,74,2097.0,19.063636363636363,2.7510218621743725,54,2115.0,0.1141751762313474,54,2115.0
100.0,71,2434.0,22.3302752293578,2.9906059129359353,57,2381.0,0.08390168666935444,57,2381.0
105.0,76,2634.0,22.70689655172414,1.748231362773214,60,2582.0,0.04484498502720104,60,2582.0
110.0,94,3022.0,24.176,2.2286002402810965,70,2816.0,0.04605592959649476,70,2816.0
115.0,95,3478.0,27.385826771653544,2.259639340723701,69,3156.0,0.030190966726449726,69,3156.0
120.0,104,3982.0,29.496296296296297,2.032340502127747,74,3519.0,0.026352069446820742,74,3519.0
125.0,98,4118.0,30.503703703703703,1.946483137507441,65,3651.0,0.0324051508882731,65,3651.0
130.0,89,4407.0,32.88805970149254,3.111634086531467,55,3702.0,0.06579220167223941,55,3702.0
135.0,93,4861.0,34.97122302158273,3.1505746298229504,55,3911.0,0.04105981571198417,55,3911.0
140.0,103,5338.0,41.06153846153846,2.3406190429091462,62,4196.0,0.04967485551175535,62,4196.0
145.0,107,5679.0,42.69924812030075,1.7226172705315421,60,4347.0,0.043099709121882795,60,4347.0
150.0,99,5771.0,43.06716417910448,1.5887278120238795,53,4364.0,0.05474100127337459,53,4364.0
155.0,97,5972.0,44.902255639097746,2.5216404289691243,55,4407.0,0.10930543577724604,55,4407.0
160.0,97,6363.0,46.44525547445255,1.9961781940163132,59,4791.0,0.07832845384550333,59,4791.0
165.0,97,6661.0,48.97794117647059,1.621859369520668,59,5012.0,0.05187661060099765,59,5012.0
170.0,92,6997.0,50.33812949640288,2.432575209813134,56,5180.0,0.06302048519699549,56,5180.0
175.0,106,7494.0,51.32876712328767,2.5506873728454087,62,5426.0,0.050710731230865884,62,5426.0
180.0,113,8026.0,57.7410071942446,2.033284485139777,64,5697.0,0.055846422346743835,64,5697.0
185.0,106,8510.0,60.785714285714285,2.1376245431088057,62,6003.0,0.041810824115654274,62,6003.0
190.0,109,8860.0,63.285714285714285,1.9059930280342254,63,6212.0,0.041188712082538874,63,6212.0
195.0,109,9323.0,67.55797101449275,2.004418944908024,62,6379.0,0.052784068818576085,62,6379.0
200.0,114,9880.0,70.57142857142857,2.0260046796459483,65,6677.0,0.04318502642278297,65,6677.0
205.0,117,10455.0,72.60416666666667,1.5138987919327922,68,7007.0,0.03155416208839294,68,7007.0
210.0,109,9338.0,64.4,1.7934955700899728,58,6387.0,0.05188050286656441,58,6387.0
215.0,85,6001.0,41.96503496503497,2.6394240072483734,33,4797.0,0.1340369747011339,33,4797.0
220.0,65,3463.0,23.882758620689657,3.0307089174450947,24,3941.0,0.21999541943195916,24,3941.0
225.0,58,1736.0,12.312056737588652,3.36904526652639,39,4945.0,0.15942242832678813,39,4945.0
230.0,47,380.0,2.676056338028169,3.0839893620930643,45,5985.0,0.06600768106103554,45,5985.0
235.0,64,384.0,2.577181208053691,3.0126912753971804,59,6471.0,0.04914628608519595,59,6471.0
240.0,75,686.0,4.573333333333333,3.1572909212027884,58,6583.0,0.08141624033849755,58,6583.0
245.0,98,1109.0,7.063694267515924,2.282063883135,64,6992.0,0.032232808700022195,64,6992.0
